,rst_name,weekday,hours,platform
2,최원석의 돼지한판 & 서해쭈꾸미 건대점,04.02 (화),영업시간: 11:30 - 01:00,1
3,최원석의 돼지한판 & 서해쭈꾸미 건대점,04.03 (수),영업시간: 11:30 - 01:00,1
4,최원석의 돼지한판 & 서해쭈꾸미 건대점,04.04 (목),영업시간: 11:30 - 01:00,1
5,최원석의 돼지한판 & 서해쭈꾸미 건대점,04.05 (금),영업시간: 11:30 - 01:00,1
6,최원석의 돼지한판 & 서해쭈꾸미 건대점,04.06 (토),영업시간: 11:30 - 01:00,1
0,조용한주택,[오늘] 03.31 (일),영업시간: 12:00 - 21:30,1
1,조용한주택,04.01 (월),휴무일,1
2,조용한주택,04.02 (화),영업시간: 17:30 - 21:30,1
3,,,,
4,조용한주택,04.03 (수),영업시간: 17:30 - 21:30,1
5,,,,
6,조용한주택,04.04 (목),영업시간: 17:30 - 21:30,1
7,,,,
8,조용한주택,04.05 (금),영업시간: 17:30 - 21:30,1
9,,,,
10,조용한주택,04.06 (토),영업시간: 12:00 - 21:30,1
11,,,,
12,,,,
0,민벅 건대점,[오늘] 03.31 (일),영업시간: 11:30 - 22:00,1
1,민벅 건대점,04.01 (월),영업시간: 11:30 - 22:00,1
2,,,,
3,,,,
4,민벅 건대점,04.02 (화),영업시간: 11:30 - 22:00,1
5,,,,
6,,,,
7,민벅 건대점,04.03 (수),영업시간: 11:30 - 22:00,1
8,,,,
9,,,,
10,민벅 건대점,04.04 (목),영업시간: 11:30 - 22:00,1
11,,,,
12,,,,
13,민벅 건대점,04.05 (금),영업시간: 11:30 - 22:00,1
14,,,,
15,,,,
16,민벅 건대점,04.06 (토),영업시간: 11:30 - 22:00,1
17,,,,
18,,,,
0,오코노미야키식당 하나,[오늘] 03.31 (일),영업시간: 12:00 - 23:00,1
1,오코노미야키식당 하나,04.01 (월),영업시간: 17:00 - 23:00,1
2,오코노미야키식당 하나,04.02 (화),휴무일,1
3,오코노미야키식당 하나,04.03 (수),영업시간: 17:00 - 23:00,1
4,오코노미야키식당 하나,04.04 (목),영업시간: 17:00 - 23:00,1
5,오코노미야키식당 하나,04.05 (금),영업시간: 12:00 - 23:00,1
6,오코노미야키식당 하나,04.06 (토),영업시간: 12:00 - 23:00,1
0,꼬메노,[오늘] 03.31 (일),영업시간: 13:00 - 22:30,1
1,꼬메노,04.01 (월),영업시간: 13:00 - 22:30,1
2,꼬메노,04.02 (화),영업시간: 13:00 - 22:30,1
3,꼬메노,04.03 (수),영업시간: 13:00 - 22:30,1
4,꼬메노,04.04 (목),영업시간: 13:00 - 22:30,1
5,꼬메노,04.05 (금),영업시간: 13:00 - 22:30,1
6,꼬메노,04.06 (토),영업시간: 13:00 - 22:30,1
0,버거킹 건대입구역점,[오늘] 03.31 (일),영업시간: 00:00 - 24:00,1
1,버거킹 건대입구역점,04.01 (월),영업시간: 00:00 - 24:00,1
2,버거킹 건대입구역점,04.02 (화),영업시간: 00:00 - 24:00,1
3,버거킹 건대입구역점,04.03 (수),영업시간: 00:00 - 24:00,1
4,버거킹 건대입구역점,04.04 (목),영업시간: 00:00 - 24:00,1
5,버거킹 건대입구역점,04.05 (금),영업시간: 00:00 - 24:00,1
6,버거킹 건대입구역점,04.06 (토),영업시간: 00:00 - 24:00,1
0,서소문순두부보쌈,[오늘] 03.31 (일),영업시간: 11:00 - 22:00,1
1,서소문순두부보쌈,04.01 (월),영업시간: 11:00 - 22:00,1
2,,,,
3,서소문순두부보쌈,04.02 (화),영업시간: 11:00 - 22:00,1
4,,,,
5,서소문순두부보쌈,04.03 (수),영업시간: 11:00 - 22:00,1
6,,,,
7,서소문순두부보쌈,04.04 (목),영업시간: 11:00 - 22:00,1
8,,,,
9,서소문순두부보쌈,04.05 (금),영업시간: 11:00 - 22:00,1
10,,,,
11,서소문순두부보쌈,04.06 (토),영업시간: 11:00 - 22:00,1
12,,,,
0,홍콩반점0410 건대역점,[오늘] 03.31 (일),영업시간: 00:00 - 24:00,1
1,홍콩반점0410 건대역점,04.01 (월),영업시간: 00:00 - 24:00,1
2,홍콩반점0410 건대역점,04.02 (화),영업시간: 00:00 - 24:00,1
3,홍콩반점0410 건대역점,04.03 (수),영업시간: 00:00 - 24:00,1
4,홍콩반점0410 건대역점,04.04 (목),영업시간: 00:00 - 24:00,1
5,홍콩반점0410 건대역점,04.05 (금),영업시간: 00:00 - 24:00,1
6,홍콩반점0410 건대역점,04.06 (토),영업시간: 00:00 - 24:00,1
0,감성타코,[오늘] 03.31 (일),영업시간: 12:00 - 22:00,1
1,감성타코,04.01 (월),영업시간: 12:00 - 22:00,1
2,감성타코,04.02 (화),영업시간: 12:00 - 22:00,1
3,감성타코,04.03 (수),영업시간: 12:00 - 22:00,1
4,감성타코,04.04 (목),영업시간: 12:00 - 22:00,1
5,감성타코,04.05 (금),영업시간: 12:00 - 22:00,1
6,감성타코,04.06 (토),영업시간: 12:00 - 22:00,1
0,일광,[오늘] 03.31 (일),휴무일,1
1,일광,04.01 (월),영업시간: 18:30 - 03:00,1
2,일광,04.02 (화),영업시간: 18:30 - 03:00,1
3,일광,04.03 (수),영업시간: 18:30 - 03:00,1
4,일광,04.04 (목),영업시간: 18:30 - 03:00,1
5,일광,04.05 (금),영업시간: 18:30 - 03:00,1
6,일광,04.06 (토),영업시간: 18:30 - 03:00,1
0,시홍쓰,[오늘] 03.31 (일),휴무일,1
1,시홍쓰,04.01 (월),영업시간: 11:30 - 20:30,1
2,,,,
3,,,,
4,시홍쓰,04.02 (화),영업시간: 11:30 - 20:30,1
5,,,,
6,,,,
7,시홍쓰,04.03 (수),영업시간: 11:30 - 20:30,1
8,,,,
9,,,,
10,시홍쓰,04.04 (목),영업시간: 11:30 - 20:30,1
11,,,,
12,,,,
13,시홍쓰,04.05 (금),영업시간: 11:30 - 20:30,1
14,,,,
15,,,,
16,시홍쓰,04.06 (토),영업시간: 11:30 - 15:00,1
17,,,,
0,어멍네고기국수,[오늘] 03.31 (일),휴무일,1
1,어멍네고기국수,04.01 (월),영업시간: 10:00 - 17:00,1
2,,,,
3,어멍네고기국수,04.02 (화),영업시간: 10:00 - 17:00,1
4,,,,
5,어멍네고기국수,04.03 (수),영업시간: 10:00 - 17:00,1
6,,,,
7,어멍네고기국수,04.04 (목),영업시간: 10:00 - 17:00,1
8,,,,
9,어멍네고기국수,04.05 (금),영업시간: 10:00 - 17:00,1
10,,,,
11,어멍네고기국수,04.06 (토),영업시간: 10:00 - 17:00,1
12,,,,
0,우화등선,[오늘] 03.31 (일),휴무일,1
1,우화등선,04.01 (월),영업시간: 17:30 - 22:30,1
2,,,,
3,우화등선,04.02 (화),영업시간: 17:30 - 22:30,1
4,,,,
5,우화등선,04.03 (수),영업시간: 17:30 - 22:30,1
6,,,,
7,우화등선,04.04 (목),영업시간: 17:30 - 22:30,1
8,,,,
9,우화등선,04.05 (금),영업시간: 17:30 - 22:30,1
10,,,,
11,우화등선,04.06 (토),영업시간: 17:30 - 22:30,1
12,,,,
0,대동집 건대점,[오늘] 03.31 (일),영업시간: 17:00 - 04:00,1
1,대동집 건대점,04.01 (월),영업시간: 17:00 - 02:00,1
2,대동집 건대점,04.02 (화),영업시간: 17:00 - 02:00,1
3,대동집 건대점,04.03 (수),영업시간: 17:00 - 02:00,1
