,rst_name,weekday,hours,platform
1,슈드 Seoul,04.02 (화),영업시간: 11:00 - 01:00,1
2,,,,
3,슈드 Seoul,04.03 (수),영업시간: 11:00 - 01:00,1
4,,,,
5,슈드 Seoul,04.04 (목),영업시간: 11:00 - 01:00,1
6,,,,
0,슈드 Seoul,04.05 (금),영업시간: 11:00 - 01:00,1
1,,,,
2,슈드 Seoul,04.06 (토),영업시간: 11:00 - 01:00,1
3,,,,
4,슈드 Seoul,04.07 (일),영업시간: 11:00 - 01:00,1
5,,,,
6,팬더스윗 건대점,[오늘] 04.01 (월),영업시간: 11:00 - 23:00,1
0,팬더스윗 건대점,04.02 (화),영업시간: 11:00 - 23:00,1
1,팬더스윗 건대점,04.03 (수),영업시간: 11:00 - 23:00,1
2,팬더스윗 건대점,04.04 (목),영업시간: 11:00 - 23:00,1
3,팬더스윗 건대점,04.05 (금),영업시간: 11:00 - 23:00,1
4,팬더스윗 건대점,04.06 (토),영업시간: 11:00 - 23:00,1
5,팬더스윗 건대점,04.07 (일),영업시간: 11:00 - 23:00,1
6,카페율콩,[오늘] 04.01 (월),휴무일,1
7,카페율콩,04.02 (화),영업시간: 17:00 - 02:00,1
8,카페율콩,04.03 (수),영업시간: 17:00 - 02:00,1
9,카페율콩,04.04 (목),영업시간: 17:00 - 02:00,1
10,카페율콩,04.05 (금),영업시간: 17:00 - 02:00,1
11,카페율콩,04.06 (토),영업시간: 17:00 - 02:00,1
12,카페율콩,04.07 (일),영업시간: 17:00 - 02:00,1
0,아티제 건국대병원점,[오늘] 04.01 (월),영업시간: 07:00 - 22:00,1
1,아티제 건국대병원점,04.02 (화),영업시간: 07:00 - 22:00,1
2,아티제 건국대병원점,04.03 (수),영업시간: 07:00 - 22:00,1
3,아티제 건국대병원점,04.04 (목),영업시간: 07:00 - 22:00,1
4,아티제 건국대병원점,04.05 (금),영업시간: 07:00 - 22:00,1
5,아티제 건국대병원점,04.06 (토),영업시간: 07:00 - 22:00,1
6,아티제 건국대병원점,04.07 (일),영업시간: 07:00 - 22:00,1
0,벨렘351 건대점,[오늘] 04.01 (월),영업시간 확인 필요,1
1,벨렘351 건대점,04.02 (화),확인 필요,1
2,벨렘351 건대점,04.03 (수),확인 필요,1
3,벨렘351 건대점,04.04 (목),확인 필요,1
4,벨렘351 건대점,04.05 (금),확인 필요,1
5,벨렘351 건대점,04.06 (토),확인 필요,1
6,벨렘351 건대점,04.07 (일),확인 필요,1
0,킹스커피,[오늘] 04.01 (월),영업시간: 11:30 - 22:00,1
1,킹스커피,04.02 (화),영업시간: 11:30 - 22:00,1
2,킹스커피,04.03 (수),영업시간: 11:30 - 22:00,1
3,킹스커피,04.04 (목),영업시간: 11:30 - 22:00,1
4,킹스커피,04.05 (금),영업시간: 11:30 - 22:00,1
5,킹스커피,04.06 (토),영업시간: 11:30 - 22:00,1
6,킹스커피,04.07 (일),영업시간: 11:30 - 22:00,1
0,카페 ING 건국대학교 해봉부동산학관점,[오늘] 04.01 (월),영업시간: 08:00 - 21:00,1
1,카페 ING 건국대학교 해봉부동산학관점,04.02 (화),영업시간: 08:00 - 21:00,1
2,카페 ING 건국대학교 해봉부동산학관점,04.03 (수),영업시간: 08:00 - 21:00,1
3,카페 ING 건국대학교 해봉부동산학관점,04.04 (목),영업시간: 08:00 - 21:00,1
4,카페 ING 건국대학교 해봉부동산학관점,04.05 (금),영업시간: 08:00 - 21:00,1
5,카페 ING 건국대학교 해봉부동산학관점,04.06 (토),영업시간: 09:30 - 18:00,1
6,카페 ING 건국대학교 해봉부동산학관점,04.07 (일),영업시간: 09:30 - 18:00,1
0,아오스 요거트,[오늘] 04.01 (월),영업시간: 09:00 - 21:00,1
1,아오스 요거트,04.02 (화),영업시간: 09:00 - 21:00,1
2,아오스 요거트,04.03 (수),영업시간: 09:00 - 21:00,1
3,아오스 요거트,04.04 (목),영업시간: 09:00 - 21:00,1
4,아오스 요거트,04.05 (금),영업시간: 09:00 - 21:00,1
5,아오스 요거트,04.06 (토),영업시간: 09:00 - 21:00,1
6,아오스 요거트,04.07 (일),영업시간: 09:00 - 21:00,1
0,열매제과점,[오늘] 04.01 (월),휴무일,1
1,열매제과점,04.02 (화),휴무일,1
2,열매제과점,04.03 (수),영업시간: 12:00 - 20:00,1
3,열매제과점,04.04 (목),영업시간: 12:00 - 20:00,1
4,열매제과점,04.05 (금),영업시간: 12:00 - 20:00,1
5,열매제과점,04.06 (토),영업시간: 12:00 - 20:00,1
