,rst_name,weekday,hours,platform
0,셰프노리,[오늘] 04.01 (월),영업시간 확인 필요,1
1,셰프노리,04.02 (화),확인 필요,1
2,셰프노리,04.03 (수),확인 필요,1
3,셰프노리,04.04 (목),확인 필요,1
4,셰프노리,04.05 (금),확인 필요,1
5,셰프노리,04.06 (토),확인 필요,1
6,셰프노리,04.07 (일),확인 필요,1
0,도키도키,[오늘] 04.01 (월),영업시간: 18:00 - 02:00,1
1,도키도키,04.02 (화),영업시간: 18:00 - 02:00,1
2,도키도키,04.03 (수),영업시간: 18:00 - 02:00,1
3,도키도키,04.04 (목),영업시간: 18:00 - 02:00,1
4,도키도키,04.05 (금),영업시간: 17:30 - 03:00,1
5,도키도키,04.06 (토),영업시간: 17:30 - 03:00,1
6,도키도키,04.07 (일),영업시간: 18:00 - 02:00,1
0,몽움,[오늘] 04.01 (월),영업시간: 17:00 - 01:00,1.0
1,몽움,04.02 (화),영업시간: 17:00 - 01:00,1.0
2,,,,
3,몽움,04.03 (수),영업시간: 17:00 - 01:00,1.0
4,,,,
5,몽움,04.04 (목),영업시간: 17:00 - 01:00,1.0
6,,,,
7,몽움,04.05 (금),영업시간: 17:00 - 02:00,1.0
8,,,,
9,몽움,04.06 (토),영업시간: 17:00 - 02:00,1.0
10,,,,
11,몽움,04.07 (일),영업시간: 17:00 - 00:00,1.0
12,,,,
0,제주바다 건대점,[오늘] 04.01 (월),영업시간 확인 필요,1
1,제주바다 건대점,04.02 (화),확인 필요,1
2,제주바다 건대점,04.03 (수),확인 필요,1
3,제주바다 건대점,04.04 (목),확인 필요,1
4,제주바다 건대점,04.05 (금),확인 필요,1
5,제주바다 건대점,04.06 (토),확인 필요,1
6,제주바다 건대점,04.07 (일),확인 필요,1
0,개화정,[오늘] 04.01 (월),영업시간: 17:00 - 04:00,1
1,개화정,04.02 (화),영업시간: 17:00 - 04:00,1
2,개화정,04.03 (수),영업시간: 17:00 - 04:00,1
3,개화정,04.04 (목),영업시간: 17:00 - 04:00,1
4,개화정,04.05 (금),영업시간: 17:00 - 04:00,1
5,개화정,04.06 (토),영업시간: 17:00 - 04:00,1
6,개화정,04.07 (일),영업시간: 17:00 - 04:00,1
0,장미술상 건대점,[오늘] 04.01 (월),영업시간: 17:00 - 01:30,1.0
1,장미술상 건대점,04.02 (화),영업시간: 17:00 - 01:30,1.0
2,,,,
3,장미술상 건대점,04.03 (수),영업시간: 17:00 - 01:30,1.0
4,,,,
5,장미술상 건대점,04.04 (목),영업시간: 17:00 - 01:30,1.0
6,,,,
7,장미술상 건대점,04.05 (금),영업시간: 17:00 - 01:30,1.0
8,,,,
9,장미술상 건대점,04.06 (토),영업시간: 17:00 - 01:30,1.0
10,,,,
11,장미술상 건대점,04.07 (일),영업시간: 17:00 - 01:30,1.0
12,,,,
0,시멘트서울,[오늘] 04.01 (월),영업시간: 18:00 - 06:00,1.0
