,rst_name,menu_name,price,url
1683,케이쿠키,어리둥절 화이트초코,"2,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1505264754?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1684,케이쿠키,똘망똘망트리플초코,"2,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1505264754?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1685,케이쿠키,블랙핑크인유어에리어~ㄹ,"2,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1505264754?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1686,케이쿠키,귀여운곰발바닥화이트마카다미아,"2,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1505264754?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1687,케이쿠키,제주에서온 귀여운말차마카다미아,"2,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1505264754?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1688,워커스커피로스터스 석촌 본점,[단체메뉴] 미생세트(아메리카노 5잔),"16,500","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1689,워커스커피로스터스 석촌 본점,[단체메뉴] 미생세트(워커스라떼 5잔),"21,500","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1690,워커스커피로스터스 석촌 본점,[1인 메뉴] 브런치세트(팬케이크+아메리카노 세트),"11,400","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1691,워커스커피로스터스 석촌 본점,[벌크형태] 드립백(1개),"1,200","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1692,워커스커피로스터스 석촌 본점,[벌크형태] 드립백(5개),"5,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1693,워커스커피로스터스 석촌 본점,[브런치메뉴] 팬케이크(2 Piece),"7,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1694,워커스커피로스터스 석촌 본점,팬케이크토핑추가(버터포션),300,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1695,워커스커피로스터스 석촌 본점,팬케이크토핑추가(메이플시럽),300,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1696,워커스커피로스터스 석촌 본점,팬케이크토핑추가(생크림),"1,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1697,워커스커피로스터스 석촌 본점,팬케이크토핑추가(시나몬애플잼),"1,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1698,워커스커피로스터스 석촌 본점,[간판] 스페셜티 오렌지 브레붸(ONLY HOT),"5,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1699,워커스커피로스터스 석촌 본점,스페셜티 허니 딥 라떼 / 에스프레소메뉴(ONLY ICE),"5,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1700,워커스커피로스터스 석촌 본점,스페셜티 워커스 라떼,"4,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1701,워커스커피로스터스 석촌 본점,스페셜티 솔트 캬라멜 라떼,"4,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1702,워커스커피로스터스 석촌 본점,스페셜티 블렌딩 바닐라 라떼,"4,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1703,워커스커피로스터스 석촌 본점,[1리터4샷] ICE 워커스라떼(4샷 용량2배),"6,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1704,워커스커피로스터스 석촌 본점,[1리터4샷] ICE 아메리카노(4샷 용량2배),"5,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1705,워커스커피로스터스 석촌 본점,[간판] 디카페인 스페셜티 오렌지 브레붸(ONLY HOT),"6,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1706,워커스커피로스터스 석촌 본점,디카페인 스페셜티 워커스라떼,"5,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1707,워커스커피로스터스 석촌 본점,디카페인 스페셜티 솔트캬라멜라떼,"5,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1708,워커스커피로스터스 석촌 본점,디카페인 스페셜티 블렌딩바닐라라떼,"5,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1709,워커스커피로스터스 석촌 본점,디카페인 스페셜티 아메리카노,"4,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1710,워커스커피로스터스 석촌 본점,[간판] 구봉근에이드/막내 봉근이를 넣은 메뉴(ONLY ICE),"5,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1711,워커스커피로스터스 석촌 본점,프리미엄 복숭아 아이스티(ONLY ICE),"4,300","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1712,워커스커피로스터스 석촌 본점,크랜베리 주스(ONLY ICE),"5,300","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1713,워커스커피로스터스 석촌 본점,크림 초코우유,"5,300","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1714,워커스커피로스터스 석촌 본점,얼그레이 밀크티,"5,300","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1715,워커스커피로스터스 석촌 본점,"[250ml캔] 그라운드룰 콜드브루/단맛,고소,바디감(CAN)","4,300","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1716,워커스커피로스터스 석촌 본점,"[250ml캔] 퍼포먼스 콜드브루/산미,꽃향(CAN)","4,300","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1717,워커스커피로스터스 석촌 본점,"[250ml캔] 디카페인 콜드브루/바디감,단맛/임산부(CAN)","5,300","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1718,워커스커피로스터스 석촌 본점,"갓볶은원두 스톤빌 블렌딩 / 단맛,고소,바디감(200g)","14,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
1719,워커스커피로스터스 석촌 본점,"갓볶은원두 파인힐 블렌딩 / 산미,꽃향(200g)","14,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1634170355?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
